,DATE,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR
156,2010-08-27,36.605,-119.76388888,1.0,B,Miscellaneous
157,2010-08-27,36.73388888,-120.24194444,1.0,B,Miscellaneous
158,2010-08-27,36.53194444,-119.55694444,1.0,B,Miscellaneous
159,2010-08-27,36.62,-119.78611111,0.3,B,Miscellaneous
160,2010-08-27,36.64111111,-119.785,1.0,B,Miscellaneous
161,2010-08-27,36.63388888,-119.78611111,0.3,B,Miscellaneous
162,2010-08-28,36.78388888,-120.405,1.0,B,Miscellaneous
163,2010-08-28,36.545,-120.38888888,0.4,B,Miscellaneous
164,2010-08-28,36.85611111,-119.675,0.3,B,Children
165,2010-09-08,36.54694444,-119.88111111,0.1,A,Miscellaneous
166,2010-09-10,36.60305555,-120.19888888,1.0,B,Debris Burning
167,2010-09-13,36.825,-119.56888888,1.0,B,Miscellaneous
168,2010-09-14,36.60888888,-119.58388888,1.0,B,Children
169,2010-09-15,36.59,-119.85388888,1.0,B,Miscellaneous
170,2010-09-17,36.34194444,-120.30194444,6.0,B,Miscellaneous
171,2010-10-10,36.69194444,-119.81305555,1.0,B,Debris Burning
172,2010-10-11,36.58111111,-119.395,5.0,B,Debris Burning
173,2010-10-11,36.81111111,-119.63388888,1.0,B,Equipment Use
174,2010-10-15,36.605,-119.845,1.0,B,Miscellaneous
175,2010-10-16,36.70694444,-119.68194444,0.2,A,Miscellaneous
176,2010-10-24,36.62694444,-119.64611111,1.0,B,Miscellaneous
177,2010-10-29,36.66305555,-119.62805555,1.0,B,Debris Burning
178,2010-10-29,36.95305555,-120.6,1.0,B,Debris Burning
179,2010-11-02,36.96694444,-120.62694444,0.1,A,Miscellaneous
180,2010-07-03,36.765,-120.38694444,0.3,B,Miscellaneous
181,2010-07-03,36.88611111,-119.68388888,1.0,B,Equipment Use
182,2010-07-03,36.72805555,-119.45111111,1.0,B,Equipment Use
183,2010-07-03,36.69194444,-119.52805555,1.0,B,Children
184,2010-07-03,36.97388888,-119.725,1.0,B,Children
185,2010-07-04,36.42388888,-119.71111111,2.0,B,Miscellaneous
186,2010-07-04,36.66305555,-119.57388888,1.0,B,Arson
187,2010-07-04,36.61305555,-119.53,0.1,A,Miscellaneous
188,2010-07-04,36.50305555,-120.39,1.0,B,Miscellaneous
189,2010-07-04,36.69305555,-119.72694444,0.1,A,Miscellaneous
190,2010-07-05,36.71305555,-119.85111111,0.1,A,Miscellaneous
191,2010-07-09,36.76194444,-120.39111111,5.0,B,Miscellaneous
192,2010-07-09,36.64888888,-119.70305555,1.0,B,Railroad
193,2010-07-09,36.64888888,-119.70305555,1.0,B,Railroad
194,2010-07-10,36.67805555,-119.565,1.0,B,Miscellaneous
