DATE,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR
6/13/2010,37.11305555,-120.4730556,0.3,B,Debris Burning
6/14/2010,37.33388888,-120.575,1,B,Miscellaneous
6/14/2010,36.99611111,-120.645,1,B,Miscellaneous
6/14/2010,36.98694444,-120.0738889,1,B,Miscellaneous
6/14/2010,37.01805555,-120.1288889,1,B,Miscellaneous
6/15/2010,37.47694444,-120.585,5,B,Miscellaneous
6/18/2010,37.08694444,-120.4188889,0.3,B,Miscellaneous
6/18/2010,37.445,-120.5938889,2,B,Miscellaneous
6/18/2010,37.08305555,-120.2969444,3,B,Miscellaneous
6/18/2010,37.39694444,-120.4611111,1,B,Miscellaneous
6/18/2010,37.01805555,-120.3830556,5,B,Miscellaneous
6/19/2010,36.96,-120.035,1,B,Miscellaneous
6/19/2010,37.43,-120.7719444,0.2,A,Miscellaneous
6/19/2010,37.405,-120.7780556,0.4,B,Miscellaneous
6/19/2010,37.395,-120.7780556,0.4,B,Miscellaneous
6/19/2010,37.07611111,-120.3038889,0.2,A,Debris Burning
6/20/2010,37.445,-120.5938889,0.2,A,Debris Burning
6/26/2010,37.09888888,-121.0188889,0.1,A,Miscellaneous
6/26/2010,36.93805555,-120.0738889,1,B,Miscellaneous
6/28/2010,37.21388888,-120.2161111,6,B,Miscellaneous
6/29/2010,37.39,-120.7369444,1,B,Miscellaneous
6/29/2010,37.09694444,-121.0188889,0.3,B,Miscellaneous
6/30/2010,37.43694444,-120.7838889,0.2,A,Miscellaneous
7/3/2010,37.28805555,-120.4630556,0.1,A,Miscellaneous
7/4/2010,37.44888888,-120.7969444,0.1,A,Miscellaneous
7/4/2010,36.98611111,-120.02,0.5,B,Miscellaneous
7/4/2010,37.08388888,-120.275,0.3,B,Miscellaneous
7/4/2010,37.41194444,-120.8619444,0.1,A,Miscellaneous
7/4/2010,37.185,-120.4130556,1,B,Miscellaneous
7/8/2010,37.055,-120.4369444,0.4,B,Miscellaneous
7/8/2010,37.35,-120.4330556,1,B,Miscellaneous
7/8/2010,37.185,-120.3830556,4,B,Miscellaneous
7/8/2010,37.01805555,-120.2111111,0.5,B,Debris Burning
7/9/2010,37.38694444,-120.6211111,0.2,A,Miscellaneous
7/9/2010,37.04694444,-120.8261111,0.2,A,Miscellaneous
7/9/2010,37.06694444,-119.9088889,1,B,Miscellaneous
7/9/2010,37.08305555,-120.3469444,0.5,B,Miscellaneous
7/9/2010,37.36111111,-120.4769444,34,C,Miscellaneous
7/17/2010,37.42,-120.7911111,0.3,B,Miscellaneous
7/17/2010,37.42611111,-120.7711111,0.2,A,Miscellaneous
7/17/2010,37.08388888,-120.2569444,0.5,B,Miscellaneous
7/20/2010,36.99805555,-120.7819444,0.1,A,Miscellaneous
7/21/2010,37.405,-120.7780556,0.1,A,Miscellaneous
7/25/2010,37.04305555,-120.1588889,0.3,B,Miscellaneous
7/25/2010,36.98694444,-120.0380556,0.2,A,Debris Burning
8/8/2010,37.07611111,-120.51,1,B,Miscellaneous
8/10/2010,36.88111111,-119.7930556,3,B,Miscellaneous
8/10/2010,37.05388888,-120.5538889,0.1,A,Miscellaneous
8/10/2010,37.27388888,-120.3430556,3,B,Debris Burning
8/11/2010,37.39,-120.6230556,0.3,B,Miscellaneous
8/11/2010,37.39194444,-120.6111111,0.3,B,Miscellaneous
8/11/2010,37.05,-120.8261111,4,B,Miscellaneous
8/11/2010,37.32805555,-120.5211111,2,B,Miscellaneous
8/12/2010,36.99305555,-120.7080556,7.7,B,Miscellaneous
8/20/2010,37.17888888,-120.7419444,1,B,Miscellaneous
8/20/2010,37.24305555,-120.4019444,0.3,B,Debris Burning
8/21/2010,37.33888888,-120.5380556,0.3,B,Miscellaneous
8/22/2010,37.055,-120.2638889,1,B,Miscellaneous
8/24/2010,37.445,-120.5938889,0.1,A,Miscellaneous
7/1/2010,37.01111111,-120.6361111,1,B,Miscellaneous
7/1/2010,37.12694444,-120.1111111,10,C,Miscellaneous
7/1/2010,37.075,-120.8761111,0.3,B,Miscellaneous
7/2/2010,36.94305555,-120.0188889,0.1,A,Miscellaneous
7/2/2010,37.25111111,-120.3788889,1,B,Miscellaneous
7/2/2010,37.08388888,-120.4369444,3,B,Miscellaneous
7/2/2010,37.04305555,-120.1588889,1.5,B,Miscellaneous
