,Unnamed: 0,DATE,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR
260,2233,2013-07-07 00:00:00,37.883233,-121.99085,0.25,A,Missing/Undefined
261,2236,2013-07-15 00:00:00,37.72115,-121.537533,0.25,A,Missing/Undefined
262,2237,2013-07-31 00:00:00,39.010217,-121.11455,0.25,A,Missing/Undefined
263,2238,2013-07-03 00:00:00,41.0718,-124.14045,0.25,A,Missing/Undefined
264,2239,2013-07-18 00:00:00,39.12315,-122.851883,0.25,A,Miscellaneous
265,2240,2013-07-04 00:00:00,33.656667,-116.15415,0.25,A,Missing/Undefined
266,2241,2013-07-13 00:00:00,37.06915,-120.177683,0.25,A,Miscellaneous
267,2244,2013-07-01 00:00:00,37.409017,-120.751917,0.25,A,Missing/Undefined
268,2245,2013-07-09 00:00:00,40.143317,-122.322017,0.25,A,Miscellaneous
269,2246,2013-07-04 00:00:00,37.95555,-120.310417,0.5,B,Debris Burning
270,2247,2013-07-07 00:00:00,40.426233,-122.283367,0.5,B,Miscellaneous
271,2249,2013-07-05 00:00:00,36.522633,-119.8272,0.5,B,Missing/Undefined
272,2252,2013-07-22 00:00:00,39.6755,-123.49735,0.1,A,Debris Burning
273,2257,2013-07-16 00:00:00,33.951567,-117.2221,0.1,A,Debris Burning
274,2258,2013-07-07 00:00:00,38.63105,-122.860283,0.1,A,Missing/Undefined
275,2262,2013-07-06 00:00:00,33.932583,-116.874567,0.1,A,Miscellaneous
276,2265,2013-07-04 00:00:00,40.028533,-124.07315,0.1,A,Missing/Undefined
277,2268,2013-07-10 00:00:00,40.7765,-124.133167,1.0,B,Missing/Undefined
278,2270,2013-07-07 00:00:00,35.622233,-120.836083,80.0,C,Missing/Undefined
279,2271,2013-07-20 00:00:00,33.779317,-117.236917,1.0,B,Missing/Undefined
280,2272,2013-07-15 00:00:00,39.375167,-121.699283,1.0,B,Debris Burning
281,2275,2013-07-18 00:00:00,37.008367,-119.893617,1.0,B,Missing/Undefined
282,2276,2013-07-11 00:00:00,37.7725,-121.618833,20.0,C,Miscellaneous
283,2278,2013-07-20 00:00:00,37.738467,-121.670183,1.0,B,Miscellaneous
284,2279,2013-07-27 00:00:00,36.080083,-118.8989,1.0,B,Missing/Undefined
285,2282,2013-07-15 00:00:00,36.753383,-120.368183,40.0,C,Debris Burning
286,2285,2013-07-16 00:00:00,33.871087,-117.862373,0.01,A,Missing/Undefined
287,2286,2013-07-13 00:00:00,33.866402,-117.878021,0.01,A,Miscellaneous
288,2288,2013-07-04 00:00:00,41.865183,-124.205717,2.0,B,Missing/Undefined
289,2289,2013-07-30 00:00:00,36.83638300000001,-119.581817,2.0,B,Miscellaneous
290,2290,2013-07-26 00:00:00,39.084567,-123.219667,2.0,B,Missing/Undefined
291,2291,2013-07-27 00:00:00,39.05765,-122.5839,2.0,B,Missing/Undefined
292,2292,2013-07-06 00:00:00,33.967683,-117.03675,2.0,B,Miscellaneous
293,2295,2013-07-02 00:00:00,41.8626,-124.207417,2.0,B,Miscellaneous
294,2296,2013-07-03 00:00:00,33.7814,-116.917283,2.0,B,Miscellaneous
295,2297,2013-07-24 00:00:00,37.455583,-120.7216,2.0,B,Missing/Undefined
296,2298,2013-07-19 00:00:00,38.815883,-121.13885,2.0,B,Missing/Undefined
297,2299,2013-07-04 00:00:00,40.1732,-123.603917,0.1,A,Miscellaneous
298,2300,2013-07-24 00:00:00,37.122483,-121.01525,0.1,A,Miscellaneous
299,2304,2013-07-08 00:00:00,34.1921,-117.364967,0.25,A,Miscellaneous
300,2307,2013-07-19 00:00:00,36.110067,-118.9556,0.12,A,Miscellaneous
301,2308,2013-07-26 00:00:00,33.0658,-116.7596,0.12,A,Debris Burning
302,2311,2013-07-29 00:00:00,37.38585,-120.613517,0.12,A,Missing/Undefined
303,2313,2013-07-26 00:00:00,40.916033,-124.079683,0.12,A,Missing/Undefined
304,2315,2013-07-01 00:00:00,37.6253,-120.74085,0.12,A,Miscellaneous
305,2316,2013-07-20 00:00:00,34.01215,-117.057467,0.1,A,Miscellaneous
306,2322,2013-07-04 00:00:00,38.7291,-121.33145,0.1,A,Miscellaneous
307,2324,2013-07-18 00:00:00,39.081217,-122.967983,3.0,B,Miscellaneous
