DATE,LAT,LON,T2M_MAX,T2M_MIN,T2M,PRECTOT,RH2M,PS,WS10M_MIN,WS10M_MAX,WS10M,FIRE,FIRE_SIZE,FIRE_SIZE_CLASS
7/2/2015,32.25,-114.25,40.87,25.18,33.22,0,41.42,99.4,1.85,4.98,3.05,NOFIRE,0,NA
7/20/2013,32.25,-114.25,29.44,26.1,27.65,8.55,74.24,99.32,2.73,6.72,4.5,NOFIRE,0,NA
7/20/2014,32.25,-114.25,38.99,24.25,31.32,0,36.09,99.46,1.39,7.2,3.99,NOFIRE,0,NA
7/20/2015,32.25,-114.25,37.79,25.24,31.61,0.05,43.78,99.64,1.62,4.72,3.25,NOFIRE,0,NA
7/21/2013,32.25,-114.25,33.28,25.34,28.48,8.25,65.4,99.35,1.45,6.26,3.51,NOFIRE,0,NA
7/21/2014,32.25,-114.25,41.8,23.71,32.49,0,28.54,99.57,0.46,4.54,2.63,NOFIRE,0,NA
7/21/2015,32.25,-114.25,39.58,24.35,31.84,0,36.65,99.26,0.58,5.31,3.29,NOFIRE,0,NA
7/22/2013,32.25,-114.25,35.93,24.1,30.05,0,50.95,99.53,2,5.67,3.85,NOFIRE,0,NA
7/22/2014,32.25,-114.25,44.28,24.17,34.77,0,21.47,99.49,0.63,2.71,2.09,NOFIRE,0,NA
7/22/2015,32.25,-114.25,38.21,23.95,30.93,0,36.8,99.21,0.88,6.99,3.73,NOFIRE,0,NA
7/23/2013,32.25,-114.25,37.6,25.28,31.5,0,48.06,99.48,2.17,4.64,3.13,NOFIRE,0,NA
7/23/2014,32.25,-114.25,46.43,27.24,36.92,0,19.27,99.35,0.43,4.58,2.61,NOFIRE,0,NA
7/23/2015,32.25,-114.25,38.69,23.77,31.36,0.01,42.26,99.58,0.48,6.88,3.7,NOFIRE,0,NA
7/24/2013,32.25,-114.25,39.53,27.24,32.86,0,43.5,99.35,0.9,6.05,3.46,NOFIRE,0,NA
7/24/2014,32.25,-114.25,40.7,29.48,34.25,0.07,39.23,99.21,1.36,8.18,4.54,NOFIRE,0,NA
7/24/2015,32.25,-114.25,41.05,25.51,32.97,0,39.05,99.72,0.37,5.19,1.97,NOFIRE,0,NA
7/25/2013,32.25,-114.25,37.34,27.99,31.97,0.76,49.55,99.56,2.55,5.35,3.92,NOFIRE,0,NA
7/25/2014,32.25,-114.25,40.27,28.73,33.95,0.33,42.67,99.29,3.2,6.87,5.53,NOFIRE,0,NA
7/25/2015,32.25,-114.25,43.03,25.12,33.93,0,27.12,99.51,1.06,4.27,2.74,NOFIRE,0,NA
